algo,size,joules
merge_sort,10000,0.027527000
merge_sort,10000,0.021301000
merge_sort,10000,0.018738000
merge_sort,10000,0.010987000
merge_sort,10000,0.017518000
merge_sort,10000,0.018493000
merge_sort,10000,0.018127000
merge_sort,10000,0.020264000
merge_sort,10000,0.018249000
merge_sort,10000,0.028808000
merge_sort,10000,0.050171000
merge_sort,10000,0.019226000
merge_sort,10000,0.018433000
merge_sort,10000,0.033570000
merge_sort,10000,0.005921000
merge_sort,10000,0.019897000
merge_sort,10000,0.018677000
merge_sort,10000,0.024720000
merge_sort,10000,0.031921000
merge_sort,10000,0.034057000
merge_sort,10000,0.025208000
merge_sort,10000,0.033204000
merge_sort,10000,0.024597000
merge_sort,10000,0.050232000
merge_sort,10000,0.051331000
merge_sort,10000,0.018067000
merge_sort,10000,0.062195000
merge_sort,10000,0.019776000
merge_sort,10000,0.020874000
merge_sort,10000,0.018921000
merge_sort,10000,0.020874000
merge_sort,10000,0.021362000
merge_sort,10000,0.021729000
merge_sort,10000,0.022034000
merge_sort,10000,0.017578000
merge_sort,10000,0.034912000
merge_sort,10000,0.020447000
merge_sort,10000,0.017822000
merge_sort,10000,0.022644000
merge_sort,10000,0.022461000
merge_sort,10000,0.020141000
merge_sort,10000,0.020569000
merge_sort,10000,0.023498000
merge_sort,10000,0.018738000
merge_sort,10000,0.027405000
merge_sort,10000,0.030334000
merge_sort,10000,0.044678000
merge_sort,10000,0.048340000
merge_sort,10000,0.033325000
merge_sort,10000,0.044250000
merge_sort,10000,0.043762000
merge_sort,10000,0.024109000
merge_sort,10000,0.040954000
merge_sort,10000,0.044983000
merge_sort,10000,0.051270000
merge_sort,10000,0.022522000
merge_sort,10000,0.034362000
merge_sort,10000,0.010376000
merge_sort,10000,0.029053000
merge_sort,10000,0.020752000
merge_sort,10000,0.034729000
merge_sort,10000,0.021240000
merge_sort,10000,0.019653000
merge_sort,10000,0.017212000
merge_sort,10000,0.024231000
merge_sort,10000,0.009034000
merge_sort,10000,0.019470000
merge_sort,10000,0.019104000
merge_sort,10000,0.017884000
merge_sort,10000,0.030090000
merge_sort,10000,0.020569000
merge_sort,10000,0.031250000
merge_sort,10000,0.033631000
merge_sort,10000,0.022949000
merge_sort,10000,0.023437000
merge_sort,10000,0.019409000
merge_sort,10000,0.018860000
merge_sort,10000,0.055298000
merge_sort,10000,0.030639000
merge_sort,10000,0.028077000
merge_sort,10000,0.020019000
merge_sort,10000,0.018250000
merge_sort,10000,0.017212000
merge_sort,10000,0.029174000
merge_sort,10000,0.037476000
merge_sort,10000,0.019348000
merge_sort,10000,0.066589000
merge_sort,10000,0.065857000
merge_sort,10000,0.041932000
merge_sort,10000,0.021363000
merge_sort,10000,0.034241000
merge_sort,10000,0.047302000
merge_sort,10000,0.041931000
merge_sort,10000,0.090393000
merge_sort,10000,0.016846000
merge_sort,10000,0.057068000
merge_sort,10000,0.033630000
merge_sort,10000,0.019836000
merge_sort,10000,0.034485000
merge_sort,10000,0.043579000
merge_sort,10000,0.030579000
merge_sort,10000,0.028625000
merge_sort,10000,0.025330000
merge_sort,10000,0.031067000
merge_sort,10000,0.032043000
merge_sort,10000,0.026001000
merge_sort,10000,0.024414000
merge_sort,10000,0.031861000
merge_sort,10000,0.080933000
merge_sort,10000,0.022766000
merge_sort,10000,0.030395000
merge_sort,10000,0.026672000
merge_sort,10000,0.044006000
merge_sort,10000,0.023926000
merge_sort,10000,0.032654000
merge_sort,10000,0.050171000
merge_sort,10000,0.037110000
merge_sort,10000,0.057312000
merge_sort,10000,0.067383000
merge_sort,10000,0.028625000
merge_sort,10000,0.045227000
merge_sort,10000,0.068054000
merge_sort,10000,0.038819000
merge_sort,10000,0.029846000
merge_sort,10000,0.052430000
merge_sort,10000,0.035950000
merge_sort,10000,0.046814000
merge_sort,10000,0.017090000
merge_sort,10000,0.021057000
merge_sort,10000,0.032410000
merge_sort,10000,0.019470000
merge_sort,10000,0.018677000
merge_sort,10000,0.018737000
merge_sort,10000,0.008362000
merge_sort,10000,0.018554000
merge_sort,10000,0.018982000
merge_sort,10000,0.008911000
merge_sort,10000,0.037598000
merge_sort,10000,0.008850000
merge_sort,10000,0.018798000
merge_sort,10000,0.032470000
merge_sort,10000,0.041931000
merge_sort,10000,0.011353000
merge_sort,10000,0.012207000
merge_sort,10000,0.028320000
merge_sort,10000,0.010437000
merge_sort,10000,0.018310000
merge_sort,10000,0.019409000
merge_sort,10000,0.022339000
merge_sort,10000,0.031250000
merge_sort,10000,0.048890000
merge_sort,10000,0.050110000
merge_sort,10000,0.025635000
merge_sort,10000,0.023986000
merge_sort,10000,0.012391000
merge_sort,10000,0.006348000
merge_sort,10000,0.006714000
merge_sort,10000,0.035584000
merge_sort,10000,0.047119000
merge_sort,10000,0.032836000
merge_sort,10000,0.024963000
merge_sort,10000,0.009033000
merge_sort,10000,0.018799000
merge_sort,10000,0.044983000
merge_sort,10000,0.049927000
merge_sort,10000,0.052185000
merge_sort,10000,0.022339000
